,sentence,relevant,chexpert_label,keyword_label,related_rad_label,other_finding
0,"As compared to ___, the lung volumes have slightly decreased",0.0,,,,0.0
1,Signs of mild overinflation and moderate pleural effusions persist,0.0,,,,1.0
2,Moderate cardiomegaly,0.0,,,,1.0
3,Elongation of the descending aorta,0.0,,,,0.0
4,No pneumonia,0.0,,,,0.0
5,In comparison to study performed on of ___ there is new mild pulmonary edema with small bilateral pleural effusions,1.0,1.0,1.0,,1.0
6,Lung volumes have decreased with crowding of vasculature,0.0,,,,0.0
7,No pneumothorax,0.0,,,,0.0
8,Severe cardiomegaly is likely accentuated due to low lung volumes and patient positioning,0.0,,,,1.0
9,New mild pulmonary edema with persistent small bilateral pleural effusions,1.0,1.0,1.0,,1.0
10,Severe cardiomegaly is likely accentuated due to low lung volumes and patient positioning,0.0,,,,1.0
11,"As compared to the previous radiograph, the monitoring and support devices are in correct position, except for the endotracheal tube that has been pulled back",0.0,,,,0.0
12,The tube now projects approximately 5 cm above the carina with its tip,0.0,,,,0.0
13,The patient is rotated,0.0,,,,0.0
14,A pre-existing right parenchymal basal opacity therefore appears slightly more extensive than on the previous image,0.0,,,,1.0
15,Blunting of the right costophrenic sinus might be artificial,0.0,,,,
16,Moderate cardiomegaly persists,0.0,,,,1.0
17,Unchanged left lower lobe atelectasis,0.0,,,,1.0
18,"As compared to the previous radiograph, there is no relevant change",1.0,,,,0.0
19,"On the current image, the tip of the endotracheal tube projects approximately 6 cm above the carina",0.0,,,,0.0
20,Unchanged size of the cardiac silhouette,0.0,,,,1.0
21,Retrocardiac atelectasis,0.0,,,,1.0
22,Minimal right basal atelectasis but no convincing evidence of pneumonia,0.0,,,,1.0
23,"Mild fluid overload, no overt pulmonary edema",1.0,0.0,0.0,,0.0
24,"As compared to the previous radiograph, the monitoring and support devices are unchanged",0.0,,,,0.0
25,Unchanged size of the cardiac silhouette,0.0,,,,1.0
26,Unchanged bilateral pleural effusions,0.0,,,,1.0
27,Unchanged mild-to-moderate fluid overload,1.0,,1.0,,0.0
28,The patient remains intubated,0.0,,,,0.0
29,The endotracheal tube terminates about 5-6 cm above the carina,0.0,,,,0.0
30,"An orogastric tube courses into the stomach, its distal course not fully imaged",0.0,,,,0.0
31,A right internal jugular catheter terminates at the cavoatrial junction,0.0,,,,0.0
32,"There is a new focal opacity in the left upper lobe with a geometric appearance, probably compatible with atelectasis; a newly forming area of pneumonia is not excluded, however",0.0,,,,1.0
33,Dense extensive retrocardiac opacification with air bronchograms and a probable associated pleural effusion persists without clear change,0.0,,,1.0,1.0
34,"A pleural effusion is not apparent on the right on this study, which may be due to a true decrease or consequence of differences in positioning",0.0,,,,1.0
35,"New left upper lobe opacity, probably due to atelectasis, but a new focus of infection is not excluded; short-term follow-up radiographs may be helpful to help distinguish if clinical concerns may include the possibility of developing infection",0.0,,,,1.0
36,"Persistent extensive retrocardiac opacification, most commonly due to atelectasis, with a pleural effusion",0.0,,,1.0,1.0
37,"As compared to the previous radiograph, the monitoring and support devices are unchanged",0.0,,,,0.0
38,"Moderate-to-severe cardiomegaly remains unchanged, but a pre-existing left pleural effusion has slightly decreased in extent",0.0,,,,1.0
39,Also decreased is a pre-existing left perihilar opacity,0.0,,,,1.0
40,"Overall, the lungs appear better ventilated",0.0,,,,0.0
41,"Plate-like atelectasis at the right lung bases, associated with a small right pleural effusion",0.0,,,,1.0
42,No new parenchymal opacities,1.0,,,0.0,
43,No pneumothorax,0.0,,,,0.0
44,Portable chest radiograph demonstrates an endotracheal tube which terminates 4,0.0,,,,0.0
45,5 cm above the level of the carina in appropriateposition,0.0,,,,0.0
46,A right internal jugular line terminates in the low SVC,0.0,,,,0.0
47,"An enteric tube descends in in uncomplicated course, its terminal end outside the field of view",0.0,,,,0.0
48,"Heart size is mildly enlarged, unchanged",0.0,,,,1.0
49,New mild interstitial edema in the right lower lobe,1.0,1.0,1.0,,
50,The left lung appears grossly clear and better aerated,0.0,,,,0.0
51,No pneumothorax,0.0,,,,0.0
52,New mild right lower lobe interstitial edema,1.0,1.0,1.0,,
53,Portable frontal chest radiograph demonstrates an endotracheal tube which terminates 4 cm above the level of the carina in appropriate position,0.0,,,,0.0
54,"An enteric tube descends in an uncomplicated course to the distal esophagus, its end out of view",0.0,,,,0.0
55,A right jugular line ends at the low superior vena cava,0.0,,,,0.0
56,"Allowing for changes in patient positioning, the lungs appear largely unchanged with mildly increased interstitial edema",1.0,1.0,1.0,,
57,There is no new focal consolidation,0.0,,,,1.0
58,"There are likely small bilateral pleural effusions, unchanged",0.0,,,,1.0
59,There is no pneumothorax,0.0,,,,0.0
60,Mildly increased interstitial pulmonary edema,1.0,1.0,1.0,,
61,Nasogastric tube is again seen coursing below the diaphragm with the tip not identified,0.0,,,,0.0
62,Overall cardiac and mediastinal contours are stable,0.0,,,,1.0
63,"Interval reduction in lung volumes with appearance of patchy opacity at both bases, right greater than left, most likely representing patchy atelectasis in the setting of low lung volumes",0.0,,,,1.0
64,No large effusions,0.0,,,,0.0
65,No pneumothorax,0.0,,,,0.0
66,No evidence of pulmonary edema,1.0,0.0,0.0,,0.0
67,Portable AP chest radiograph demonstrates new bibasilar interstial edema with mildly increased vascular congestion,1.0,1.0,1.0,,
68,No focal consolidation identified,0.0,,,,0.0
69,There is opacification of the left hemidiaphragm concerning for atelectasis versus pleural effusion,0.0,,,1.0,1.0
70,There is no pneumothorax,0.0,,,,0.0
71,The cardiomediastinal contour is unchanged in appearance,0.0,,,,1.0
72,"An enteric tube is seen descending and an uncomplicated course, its terminal end out of view",0.0,,,,0.0
73,Chronic deformed right clavicle redemonstrated,0.0,,,,0.0
74,Mild interstial edema and vascular congestion,1.0,1.0,1.0,,
75,A nasogastric tube is seen coursing below the diaphragm with the tip not identified,0.0,,,,0.0
76,There is increasing retrocardiac consolidation with a probable associated effusion,0.0,,,,1.0
77,"Although this may represent partial lower lobe atelectasis, aspiration and pneumonia should also be considered",0.0,,,,1.0
78,Right lung is grossly clear,0.0,,,,0.0
79,Heart remains stably enlarged,0.0,,,,0.0
80,No pneumothorax is appreciated,0.0,,,,0.0
81,No evidence of pulmonary edema,1.0,0.0,0.0,,0.0
82,Nasogastric tube is again seen coursing below the diaphragm with the tip not identified,0.0,,,,0.0
83,The heart remains stably enlarged,0.0,,,,1.0
84,There is a stable retrocardiac consolidation likely with an associated effusion,0.0,,,,1.0
85,"In addition, there is more focal patchy opacity developing at the right lung base",0.0,,,,1.0
86,"Although these findings may represent atelectasis, aspiration and/or bibasilar pneumonia should also be considered",0.0,,,,1.0
87,No pneumothorax,0.0,,,,0.0
88,No evidence of pulmonary edema,1.0,0.0,0.0,,0.0
89,Nasogastric tube is again seen coursing below the diaphragm with the tip not identified,0.0,,,,0.0
90,The heart is stably enlarged,0.0,,,,1.0
91,"Persistent retrocardiac consolidation and more patchy opacity at the right base remain and are concerning for atelectasis, aspiration or bibasilar pneumonia",0.0,,,,1.0
92,Clinical correlation is advised,0.0,,,,0.0
93,There is a layering left effusion,0.0,,,,1.0
94,No pulmonary edema,1.0,0.0,0.0,,0.0
95,No pneumothorax,0.0,,,,0.0
96,"As compared to the previous radiograph, there is increasing atelectasis at the right lung base",0.0,,,,1.0
97,The pleural effusion on the left and the subsequent atelectasis are constant in appearance,0.0,,,,1.0
98,Constant size of the cardiac silhouette,0.0,,,,1.0
99,Unchanged course of the nasogastric tube,0.0,,,,0.0
100,"As compared to the previous radiograph, there is resolution of the pre-existing right basal atelectasis",0.0,,,,0.0
101,"Mild pleural effusion on the left, combined to substantial left lower lobe atelectasis",0.0,,,,1.0
102,"No pneumonia, no overt pulmonary edema",1.0,0.0,0.0,,0.0
103,No pneumothorax,0.0,,,,0.0
104,AP single view portable chest x-ray shows Dobbhoff tube with tip ending in mid gastric cavity,0.0,,,,0.0
105,Left lung base opacity has worsened since prior chest x-ray due to increased pleural effusion and left lower lobe collapse,0.0,,,,1.0
106,In the appropriate clinical setting pneumonia should be considered,0.0,,,,1.0
107,"Right lung is clear without consolidation, nodules or pleural effusion",0.0,,,,0.0
